Year,Agra,Ahmedabad,Amsterdam,Ayutthaya,Beijing,Berlin,Bijapur,Birmingham,Boston,Buenos Aires,Cairo,Chicago,Cuttack,Delhi,Dhaka,Edirne,Esfahan,Fez,Gauda,Guangzhou,Hangzhou,Istanbul,Karachi,Kolkata,Kyoto,Lisbon,London,Los Angeles,Lucknow,Manchester,Mashhad,Mexico City,Moscow,Mumbai,Nanjing,Naples,New York,Osaka,Paris,Pegu,Philadelphia,Rio de Janeiro,Saint Petersburg,Sao Paulo,Seoul,Shanghai,Suzhou,Tabriz,Tokyo,Venice,Vienna,Vijayanagar
1500,,,,,672,,,,,,400,,140,,,,,130,200,150,250,200,,,,,,,,,,,,,147,,,,185,,,,,,,,,250,,,,500
1501,,,,,672.36,,,,,,399.2,,139,,,,,130.0769231,200,150.2,250.2,205,,,,,,,,,,,,,147.0008667,,,,185.5,,,,,,,,,248,,,,499.6
1502,,,,,672.72,,,,,,398.4,,138,,,,,130.1538462,200,150.4,250.4,210,,,,,,,,,,,,,147.0017333,,,,186,,,,,,,,,246,,,,499.2
1503,,,,,673.08,,,,,,397.6,,137,,,,,130.2307692,200,150.6,250.6,215,,,,,,,,,,,,,147.0026,,,,186.5,,,,,,,,,244,,,,498.8
1504,,,,,673.44,,,,,,396.8,,136,,,,,130.3076923,200,150.8,250.8,220,,,,,,,,,,,,,147.0034667,,,,187,,,,,,,,,242,,,,498.4
1505,,,,,673.8,,,,,,396,,135,,,,,130.3846154,200,151,251,225,,,,,,,,,,,,,147.0043333,,,,187.5,,,,,,,,,240,,,,498
1506,,,,,674.16,,,,,,395.2,,134,,,,,130.4615385,200,151.2,251.2,230,,,,,,,,,,,,,147.0052,,,,188,,,,,,,,,238,,,,497.6
1507,,,,,674.52,,,,,,394.4,,133,,,130.64,,,200,151.4,251.4,235,,,,,,,,,,,,,147.0060667,,,,188.5,,,,,,,,,236,,,,497.2
1508,,,,,674.88,,,,,,393.6,,132,,,131.16,,,200,151.6,251.6,240,,,,,,,,,,,,,147.0069333,,,,189,,,,,,,,,234,,,,496.8
1509,,,,,675.24,,,,,,392.8,,,,,,,,200,151.8,251.8,245,,,,,,,,,,,,,147.0078,132.3134681,,,189.5,,,,,,,,131.8181818,232,,,,496.4
1510,,,,,675.6,,,,,,392,,,,,,,,200,152,252,250,,,,,,,,,,,,,147.0086667,134.3482979,,,190,,,,,,,,132.9090909,230,,,,496
1511,,,,,675.96,,,,,,391.2,,,,,,,,200,152.2,252.2,260,,,,,,,,,,,,,147.0095333,136.3831277,,,190.5,,,,,,,,134,228,,,,495.6
1512,,,,,676.32,,,,,,390.4,,,,,,,,200,152.4,252.4,270,,,,,,,,,,,,,147.0104,138.4179574,,,191,,,,,,,,135.0909091,226,,,,495.2
1513,,,,,676.68,,,,,,389.6,,,,,,,,200,152.6,252.6,280,,,,,,,,,,,,,147.0112667,140.4527872,,,191.5,,,,,,,,136.1818182,224,,,,494.8
1514,,,,,677.04,,,,,,388.8,,,,,,,,200,152.8,252.8,290,,,,,,,,,,,,,147.0121333,142.487617,,,192,,,,,,,,137.2727273,222,,,,494.4
1515,,,,,677.4,,,,,,388,,,,,,,,197.2222222,153,253,300,,,,,,,,,,,,,147.013,144.5224468,,,192.5,,,,,,,,138.3636364,220,,,,494
1516,,,,,677.76,,,,,,387.2,,,,,,,,194.4444444,153.2,253.2,307.6923077,,,,,,,,,,,,,148.0126286,146.5572766,,,193,,,,,,,,139.4545455,218,,,,493.6
1517,,,,,678.12,,,,,,386.4,,,,,,,,191.6666667,153.4,253.4,315.3846154,,,,,,,,,,,,,149.0122571,148.5921064,,,193.5,,,,,,,,140.5454545,216,,,,493.2
1518,,,,,678.48,,,,,,385.6,,,,,,,,188.8888889,153.6,253.6,323.0769231,,,,,,,,,,,,,150.0118857,150.6269362,,,194,,,,,,,,141.6363636,214,,,,492.8
1519,,,,,678.84,,,,,,384.8,,,,,,,,186.1111111,153.8,253.8,330.7692308,,,,,,,,,,,,,151.0115143,152.661766,,,194.5,,,,,,,,142.7272727,212,,,,492.4
1520,,,,,679.2,,,,,,384,,,,,,,,183.3333333,154,254,338.4615385,,,,,,,,,,,,,152.0111429,154.6965957,,,195,,,,,,,,143.8181818,210,,,,492
1521,,,,,679.56,,,,,,383.2,,,,,,,,180.5555556,154.2,254.2,346.1538462,,,,,,,,,,,,,153.0107714,156.7314255,,,195.5,,,,,,,,144.9090909,208,,,,491.6
1522,,,,,679.92,,,,,,382.4,,,,,,,,177.7777778,154.4,254.4,353.8461538,,,,,,,,,,,,,154.0104,158.7662553,,,196,,,,,,,,146,206,,,,491.2
1523,,,,,680.28,,,,,,381.6,,,,,,,,175,154.6,254.6,361.5384615,,,,,,,,,,,,,155.0100286,160.8010851,,,196.5,,,,,,,,145.3571429,204,,,,490.8
1524,,,,,680.64,,,,,,380.8,,,,,,,,172.2222222,154.8,254.8,369.2307692,,,,,,,,,,,,,156.0096571,162.8359149,,,197,,,,,,,,144.7142857,202,,,,490.4
1525,,,,,681,,,,,,380,,,,,,,,169.4444444,155,255,376.9230769,,,,,,,,,,,,,157.0092857,164.8707447,,,197.5,,,,,,,,144.0714286,200,,,,490
1526,,,,,681.36,,,,,,379.2,,,,,,,,166.6666667,155.2,255.2,384.6153846,,,,,,,,,,,,,158.0089143,166.9055745,,,198,,,,,,,,143.4285714,198,,,,489.6
1527,,,,,681.72,,,,,,378.4,,,,,,,,163.8888889,155.4,255.4,392.3076923,,,,,,,,,,,,,159.0085429,168.9404043,,,198.5,,,,,,,,142.7857143,196,,,,489.2
1528,,,,,682.08,,,,,,377.6,,,,,,,,161.1111111,155.6,255.6,400,,,,,,,,,,,,,160.0081714,170.975234,,,199,,,,,,,,142.1428571,194,,,,488.8
1529,,,,,682.44,,,,,,376.8,,,,,142.56,,,158.3333333,155.8,255.8,411.8181818,,,,,,,,,,,,,161.0078,173.0100638,,,199.5,,,,,,,,,192,,,,488.4
1530,,,,,682.8,,,,,,376,,,,,,,,155.5555556,156,256,423.6363636,,,,,,,,,,,,,162.0074286,175.0448936,,,200,,,,,,,,,190,,143.6829268,,488
1531,,,,,683.16,,,,,,375.2,,,,,,,,152.7777778,156.2,256.2,435.4545455,,,,,,,,,,,,,163.0070571,177.0797234,,,200.5,,,,,,,,,188,,145.0487805,,487.6
1532,,,,,683.52,,,,,,374.4,,,,,,,,150,156.4,256.4,447.2727273,,,,,,,,,,,,,164.0066857,179.1145532,,,201,,,,,,,,,186,,146.4146341,,487.2
1533,,,,,683.88,,,,,,373.6,,,,,,,,147.2222222,156.6,256.6,459.0909091,,,,,,,,,,,,,165.0063143,181.149383,,,201.5,,,,,,,,,184,,147.7804878,,486.8
1534,,,,,684.24,,,,,,372.8,,,,,145.76,,,,156.8,256.8,470.9090909,,,,,,,,,,,,,166.0059429,183.1842128,,,202,,,,,,,,,182,,149.1463415,,486.4
1535,,,,,684.6,,,,,,372,,,,,146.4,,,,157,257,482.7272727,,,,,,,,,,,,,167.0055714,185.2190426,,,202.5,,,,,,,,,180,,150.5121951,,486
1536,,,,,684.96,,,,,,371.2,,,,,147.04,,,,157.2,257.2,494.5454545,,,,,,,,,,,,,168.0052,187.2538723,,,203,,,,,,,,,178,,151.8780488,,485.6
1537,,,,,685.32,,,,,,370.4,,,,,147.68,,,,157.4,257.4,506.3636364,,,,,,,,,,,,,169.0048286,189.2887021,,,203.5,,,,,,,,,176,,153.2439024,,485.2
1538,,,,,685.68,,,,,,369.6,,,,,148.32,,,,157.6,257.6,518.1818182,,,,,,,,,,,,,170.0044571,191.3235319,,,204,,,,,,,,,174,,154.6097561,,484.8
1539,,,,,686.04,,,,,,368.8,,,,,148.96,,,,157.8,257.8,530,,,,,,,,,,,,,171.0040857,193.3583617,,,204.5,,,,,,,,,172,,155.9756098,,484.4
1540,,,,,686.4,,,,,,368,,,,,149.6,,,,158,258,541.8181818,,,,,,,,,,,,,172.0037143,195.3931915,,,205,,,,,,,,,170,,157.3414634,,484
1541,,,,,686.76,,,,,,367.2,,,,,150.24,,,,158.2,258.2,553.6363636,,,,,,,,,,,,,173.0033429,197.4280213,,,205.5,,,,,,,,,168,,158.7073171,,483.6
1542,,,,,687.12,,,,,,366.4,,,,,150.88,,,,158.4,258.4,565.4545455,,,,,,,,,,,,,174.0029714,199.4628511,,,206,,,,,,,,,166,,160.0731707,,483.2
1543,,,,,687.48,,,,,,365.6,,,,,151.52,,,,158.6,258.6,577.2727273,,,,,,,,,,,,,175.0026,201.4976809,,,206.5,,,,,,,,,164,,161.4390244,,482.8
1544,,,,,687.84,,,,,,364.8,,,,,152.16,,,,158.8,258.8,589.0909091,,,,,,,,,,,,,176.0022286,203.5325106,,,207,,,,,,,,,162,,162.804878,,482.4
