Year,JH Edrich,IM Chappell,KD Walters,WM Lawry,KWR Fletcher,APE Knott,GS Chappell,BL D'Oliveira,KR Stackpole,IR Redpath,DL Amiss,G Boycott,AP Sheahan,R Edwards,AW Greig,RC Fredericks,D Lloyd,MH Denness,KJ Wadsworth,GM Turner,M Khan,AI Kallicharran,IVA Richards,CH Lloyd,BE Congdon,Z Abbas,CG Greenidge,GA Gooch,DL Haynes,AR Border,KJ Hughes,GM Wood,DI Gower,J Miandad,SM Gavaskar,DB Vengsarkar,AJ Lamb,K Srikkanth,JG Wright,RB Richardson,DM Jones,GR Marsh,R Raja,S Malik,DC Boon,M Azharuddin,PA de Silva,A Ranatunga,SR Tendulkar,ME Waugh,S Anwar,I ul-Haq,SR Waugh,ST Jayasuriya,SC Ganguly,BC Lara,R Dravid,RT Ponting,JH Kallis,AC Gilchrist,M Yousuf,M Jayawardene,KC Sangakkara,V Kohli
1971,82,60,41,27,24,24,22,17,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,82,147,41,27,138,80,12,17,163,12,168,82,75,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,82,147,,,244,92,12,,163,,302,117,75,69,134,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,215,358,,,371,92,28,,224,,369,117,75,69,209,109,250,151,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,215,542,,,607,,47,,224,,615,117,,255,209,109,250,264,144,406,326,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,215,542,,,607,,47,,224,,615,117,,255,209,109,250,264,144,406,326,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,542,,,607,,472,,,,708,117,,255,,109,250,264,,588,346,313,328,316,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,542,,,607,,646,,,,859,117,,,,311,,,,588,369,337,348,361,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,542,,,607,,646,,,,859,117,,,,311,,,,588,456,378,357,361,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,665,,,607,,919,,,,859,619,,,,,,,,764,606,560,883,361,,348,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,665,,,607,,919,,,,859,619,,,,,,,,764,606,560,883,361,,348,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,673,,,607,,1265,,,,859,969,,,,,,,,764,672,824,1211,361,,348,1133,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,673,,,,,1719,,,,859,1082,,,,,,,,764,672,824,1367,850,,862,1281,905,911,873,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,2057,,,,859,1082,,,,,,,,764,,,1750,1089,,1539,1573,1046,911,1219,1105,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,2331,,,,,1082,,,,,,,,1598,,,2480,1089,,2033,2322,1046,1562,1647,1420,1498,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,2331,,,,,1082,,,,,,,,1598,,,2480,1089,,2033,2322,1046,1562,1647,1420,1498,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,2331,,,,,,,,,,,,,1598,,,3175,1609,,2374,2545,,2375,2085,1942,1498,2196,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,2331,,,,,,,,,,,,,,,,4406,1977,,2572,2912,,3607,2915,1942,2140,2427,2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,2331,,,,,,,,,,,,,,,,4739,,,2572,3242,,4023,3536,,2140,2570,3165,2357,2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,2331,,,,,,,,,,,,,,,,5629,,,2572,3688,,4585,4152,,,2905,4249,3092,2839,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,2331,,,,,,,,,,,,,,,,5629,,,2572,3688,,4585,4152,,,2905,4249,3092,2839,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,5950,,,2572,4483,,5354,4364,,,2905,4919,3092,3110,2614,3082,3081,,,,,,,,,,,,,,,,,,,,,,,,,
